"","GBS_weighted_mean","GBS_weighted_median","GBS_weighted_min","GBS_weighted_max","GBS_weighted_Std_dev","monthID","date","year","month"
"127",8.42842730570468,8.37716371481612,7.37759645777934,9.8144473433345,0.411774107169736,"2008dec",2008-12-01,2008,12
"128",5.103855,5.1875,4.375,5.75,0.225885,"2008feb",2008-02-01,2008,2
"129",5.549335,5.5,4.5625,6.375,0.27975,"2008jan",2008-01-01,2008,1
"130",17.358125,17.5,14.1875,19.9375,1.001865,"2008jul",2008-07-01,2008,7
"131",11.52323,11.5625,8.1875,14.25,0.972645,"2008jun",2008-06-01,2008,6
"132",4.16681,4.25,1.75,5.3125,0.64474,"2008mar",2008-03-01,2008,3
"133",6.722065,6.75,5.625,7.9375,0.48792,"2008may",2008-05-01,2008,5
"134",10.6303472108437,10.9199632770048,6.10881053322983,12.5971218725742,1.08615396548636,"2008nov",2008-11-01,2008,11
"135",13.15611,13.125,12.1875,14.5,0.30769,"2008oct",2008-10-01,2008,10
"136",15.29583,15.375,13.0625,17.25,0.594825,"2008sep",2008-09-01,2008,9
"137",4.963475,5,4.0625,5.4375,0.249215,"2009apr",2009-04-01,2009,4
"138",17.176515,17.375,13.9375,19.625,0.96754,"2009aug",2009-08-01,2009,8
"139",8.88085560074122,9.06466920418691,5.37355386387539,11.1900823859368,0.717335474532979,"2009dec",2009-12-01,2009,12
"140",4.07841,4.1875,1.5,5.75,0.79836,"2009feb",2009-02-01,2009,2
"141",5.70361429071211,5.91779990971674,0.355270285520822,7.20720009028326,1.04788569235978,"2009jan",2009-01-01,2009,1
"142",13.90804,14.0625,9.375,17.1875,1.41508,"2009jul",2009-07-01,2009,7
"143",10.35446,10.3125,7.8125,12.6875,0.89624,"2009jun",2009-06-01,2009,6
"144",4.160205,4.3125,2.5625,4.875,0.49992,"2009mar",2009-03-01,2009,3
"145",6.69111,6.75,5.1875,7.875,0.51588,"2009may",2009-05-01,2009,5
"146",11.171005,11.1875,9.4375,14.5625,0.54887,"2009nov",2009-11-01,2009,11
"147",13.049285,13.125,11.3125,14.4375,0.45785,"2009oct",2009-10-01,2009,10
"148",15.38659,15.4375,13.9375,16.4375,0.43322,"2009sep",2009-09-01,2009,9
"149",5.41455,5.375,4.0625,6.6875,0.43023,"2010apr",2010-04-01,2010,4
"150",18.101185,18.1875,15.875,20.8125,0.75247,"2010aug",2010-08-01,2010,8
"151",8.0193904330107,8.13442435048395,4.1462047885889,10.002356087621,0.631453856342333,"2010dec",2010-12-01,2010,12
"152",3.77798658380682,3.81670809659091,-0.950532670454545,5.89552556818182,0.86281709375,"2010feb",2010-02-01,2010,2
